FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput
safe_read, gnuit-4.9.5\lib\safe-read.c, 17, 5, 5, 2, 4, 1, 2
is_cjk_encoding, gnuit-4.9.5\lib\uniwidth\cjk.h, 15, 2, 2, 1, 1, 2, 2
critical_factorization, gnuit-4.9.5\lib\str-two-way.h, 73, 50, 14, 3, 7, 4, 4
signal_handlers, gnuit-4.9.5\src\signals.c, 13, 2, 2, 1, 1, 5, 0
signals_init, gnuit-4.9.5\src\signals.c, 9, 1, 1, 0, 0, 3, 0
memmove, gnuit-4.9.5\lib\memmove.c, 15, 5, 5, 2, 1, 7, 1
argmatch, gnuit-4.9.5\lib\argmatch.c, 33, 11, 7, 4, 6, 6, 4
adjust_value, gnuit-4.9.5\lib\human.c, 10, 2, 2, 1, 0, 3, 1
default_block_size, gnuit-4.9.5\lib\human.c, 5, 1, 2, 0, 0, 2, 2
group_number, gnuit-4.9.5\lib\human.c, 30, 9, 6, 2, 2, 5, 3
human_options, gnuit-4.9.5\lib\human.c, 11, 2, 2, 1, 0, 3, 4
humblock, gnuit-4.9.5\lib\human.c, 46, 17, 9, 5, 7, 5, 7
xsetenv, gnuit-4.9.5\src\misc.h, 11, 2, 2, 1, 0, 5, 3
tty_get_color_index, gnuit-4.9.5\src\tty.c, 10, 3, 4, 2, 3, 4, 2
common_configuration_init, gnuit-4.9.5\src\misc.c, 15, 2, 2, 1, 1, 5, 7
compute_directories, gnuit-4.9.5\src\misc.c, 10, 1, 1, 0, 0, 3, 0
configuration_fatal_error, gnuit-4.9.5\src\misc.c, 8, 1, 1, 0, 0, 4, 2
configuration_warning, gnuit-4.9.5\src\misc.c, 29, 1, 1, 0, 0, 3, 2
display_exit_message, gnuit-4.9.5\src\misc.c, 9, 1, 1, 0, 0, 9, 4
fatal_signal, gnuit-4.9.5\src\misc.c, 28, 4, 4, 1, 6, 2, 6
get_file_length, gnuit-4.9.5\src\misc.c, 10, 1, 1, 0, 0, 1, 2
get_file_type_info, gnuit-4.9.5\src\misc.c, 47, 99, 9, 2, 7, 2, 10
get_login_name, gnuit-4.9.5\src\misc.c, 18, 2, 2, 1, 1, 4, 5
get_string_var, gnuit-4.9.5\src\misc.c, 10, 2, 2, 1, 1, 5, 3
is_a_bg_command, gnuit-4.9.5\src\misc.c, 14, 4, 4, 2, 6, 2, 2
is_an_empty_command, gnuit-4.9.5\src\misc.c, 9, 3, 3, 2, 3, 2, 1
needs_quotes, gnuit-4.9.5\src\misc.c, 18, 3, 3, 2, 3, 3, 2
