FunctionName, RelativePath,NumberOfBugs
parse_command, bash-4.2\eval.c, 0
reset_parser, bash-4.2\y.tab.c, 0
set_current_prompt_level, bash-4.2\y.tab.c, 0
zcatfd, bash-4.2\lib\sh\zcatfd.c, 0
pop_stream, bash-4.2\y.tab.c, 0
push_stream, bash-4.2\y.tab.c, 0
with_input_from_string, bash-4.2\y.tab.c, 0
redirection_error, bash-4.2\redir.c, 0
redirection_expand, bash-4.2\redir.h, 0
jump_to_top_level, bash-4.2\sig.h, 0
run_trap_cleanup, bash-4.2\trap.c, 0
add_unwind_protect, bash-4.2\unwind_prot.h, 0
begin_unwind_frame, bash-4.2\unwind_prot.c, 0
discard_unwind_frame, bash-4.2\unwind_prot.c, 0
have_unwind_protects, bash-4.2\unwind_prot.c, 0
run_unwind_frame, bash-4.2\unwind_prot.c, 0
unwind_protect_mem, bash-4.2\unwind_prot.c, 0
cat_file, bash-4.2\builtins\evalstring.c, 0
parse_and_execute, bash-4.2\builtins\evalstring.c, 0
parse_and_execute_cleanup, bash-4.2\builtins\evalstring.c, 0
parse_prologue, bash-4.2\builtins\evalstring.c, 0
parse_string, bash-4.2\builtins\evalstring.c, 0
get_current_user_info, bash-4.2\shell.c, 0
whoami_builtin, bash-4.2\examples\loadables\whoami.c, 0
cat_builtin, bash-4.2\examples\loadables\cat.c, 0
cat_main, bash-4.2\examples\loadables\cat.c, 0
fatal_error, bash-4.2\CWRU\misc\errlist.c, 0
make_builtin_argv, bash-4.2\builtins\common.c, 0
rl_backward_char_search, bash-4.2\lib\readline\text.c, 0
rl_backward_kill_line, bash-4.2\lib\readline\readline.h, 0
rl_backward_kill_word, bash-4.2\lib\readline\readline.h, 0
rl_backward_word, bash-4.2\lib\readline\readline.h, 0
rl_capitalize_word, bash-4.2\lib\readline\text.c, 0
rl_char_search, bash-4.2\lib\readline\text.c, 0
rl_clear_screen, bash-4.2\lib\readline\text.c, 0
rl_delete, bash-4.2\lib\readline\readline.h, 0
rl_delete_horizontal_space, bash-4.2\lib\readline\text.c, 0
rl_do_lowercase_version, bash-4.2\lib\readline\text.c, 0
rl_downcase_word, bash-4.2\lib\readline\text.c, 0
rl_end_of_history, bash-4.2\lib\readline\misc.c, 0
rl_exchange_point_and_mark, bash-4.2\lib\readline\text.c, 0
rl_forward_search_history, bash-4.2\lib\readline\isearch.c, 0
rl_forward_word, bash-4.2\lib\readline\text.c, 0
rl_get_next_history, bash-4.2\lib\readline\misc.c, 0
rl_insert_comment, bash-4.2\lib\readline\text.c, 0
rl_insert_completions, bash-4.2\lib\readline\complete.c, 0
rl_kill_line, bash-4.2\lib\readline\kill.c, 0
rl_kill_word, bash-4.2\lib\readline\kill.c, 0
rl_possible_completions, bash-4.2\lib\readline\complete.c, 0
rl_quoted_insert, bash-4.2\lib\readline\text.c, 0
rl_re_read_init_file, bash-4.2\lib\readline\bind.c, 0
rl_reverse_search_history, bash-4.2\lib\readline\isearch.c, 0
rl_revert_line, bash-4.2\lib\readline\undo.c, 0
rl_set_mark, bash-4.2\lib\readline\text.c, 0
rl_tab_insert, bash-4.2\lib\readline\text.c, 0
rl_transpose_chars, bash-4.2\lib\readline\text.c, 0
rl_transpose_words, bash-4.2\lib\readline\text.c, 0
rl_unix_line_discard, bash-4.2\lib\readline\kill.c, 0
rl_unix_word_rubout, bash-4.2\lib\readline\kill.c, 0
rl_upcase_word, bash-4.2\lib\readline\text.c, 0
rl_vi_editing_mode, bash-4.2\lib\readline\misc.c, 0
